CANDIDATO,NÚMERO,PARTIDO,VOTOS
Professora Berta,22510,PL,777
Diretor Goiabinha,11555,PP,775
Roque Pereira Morais,10360,REPUBLICANOS,775
Marcelo King,20773,PSC,773
Deferson Lima,10012,REPUBLICANOS,772
Fabio Batista,25026,DEM,771
Fabio Lima,10020,REPUBLICANOS,769
Ricardo Penteado,25017,DEM,769
Douglas Witzel,40456,PSB,768
Pedrão Da Lotação,14156,PTB,767
Cassio Vinte Seis Da Norte,20026,PSC,767
Anadethy Caravanista,15017,MDB,765
Wellington Alves,22555,PL,762
Valdinei Santana,20207,PSC,760
Clovis Jurado,14014,PTB,758
Gil Da Borracharia,10655,REPUBLICANOS,755
Meire Carvalho,55655,PSD,753
Yuri Costa,14222,PTB,749
Farid,19600,PODE,746
Ricardo Miranda,22010,PL,743
Jacke Oliveira,43111,PV,743
Marcelo Zuquini,25699,DEM,742
Bancada Antifascista,13999,PT,738
Engenheiro Ernane,55355,PSD,737
Adria Giaccheri,15150,MDB,733
Jeferson Costa,14400,PTB,722
Gil Silva,40322,PSB,721
Nicival Martins,22680,PL,715
Valentim,14011,PTB,715
Ailton Bispo,20024,PSC,714
Kazveg,40022,PSB,710
Luciano Fattori,10181,REPUBLICANOS,705
Fhiama Raquel,45666,PSDB,701
Bia Botelho,19707,PODE,697
G Black,10661,REPUBLICANOS,697
Joao Bosco,10400,REPUBLICANOS,697
Bispo Djalma Bento,10050,REPUBLICANOS,695
Kurt,17310,PSL,694
Jarrie Barbosa,13313,PT,692
Carlos Cordiolli,40156,PSB,691
Professor Benilton,20199,PSC,689
Professor Roberto Carlos,50136,PSOL,688
Silvio Penteado,10060,REPUBLICANOS,684
Professora Ana Sabóia,22563,PL,684
Renata Peron Bancada Artevista,19502,PODE,678
Prof Carlos Augusto,40897,PSB,677
Coronel Miotto,20911,PSC,673
Cristiano Fonseca,10199,REPUBLICANOS,668
Paraiba,13001,PT,663
Arquiteto Marcelo Braga,17056,PSL,661
Fabiola Coletivo Mãe Terra,50180,PSOL,660
Renata Morais,50333,PSOL,659
Lucélia Moura,13963,PT,658
Dra Patricia Ferreira,51707,PATRIOTA,649
Patricia Andrade,25550,DEM,646
Edson Da Fogazza,40212,PSB,644
Chicó,22123,PL,641
O Defensor Das Mulheres,40100,PSB,638
Luciano Klein,51550,PATRIOTA,635
Solange Morais,14017,PTB,634
Rafael Negrão,50300,PSOL,634
Luiz Castro,55222,PSD,631
Dra Tati Cruz,19181,PODE,631
Dra Patricia Mazzarioli,14277,PTB,630
João Bezerra,19219,PODE,626
Dr Claudiney,40085,PSB,624
Nadir Sampaio,13500,PT,622
Cabo Gomes,20099,PSC,621
Elaine Caparróz,25121,DEM,620
Delmar Binas,10444,REPUBLICANOS,613
Dr Sergio Ricardo,20220,PSC,613
Mauro Marinho,17030,PSL,613
Rodrigo Ras,25677,DEM,607
Agripino Magalhães,40700,PSB,607
Dra Joana D'arc Figueira,55077,PSD,606
Sandro De Toledo,25190,DEM,603
Ana Soares,15154,MDB,600
Rodrigo Vianna,19456,PODE,598
Reginaldo Lopes,43400,PV,597
Dra Cristiane Gomes,19321,PODE,597
Paulo Rocha,50888,PSOL,596
Silvia Nakano,10700,REPUBLICANOS,590
Cabo Geovannes,51099,PATRIOTA,590
Batista Linares,11121,PP,583
Mylene Do Poderosas De Batom,19803,PODE,582
Ivanildo Paraiba,43133,PV,582
Eli Correia De Melo,19677,PODE,581
Tio Valter,20996,PSC,580
Alfredo Loebeling,14333,PTB,575
David Ben Avram Burikita,55518,PSD,573
Gil Do Povo,10022,REPUBLICANOS,568
Sylvia Beatrix,55455,PSD,567
Irmao Pedro,20045,PSC,566
Jeferson Santos,10280,REPUBLICANOS,564
Queli Quebec,25192,DEM,563
Paulo Maluf,19111,PODE,563
Wilson Rossi,11444,PP,563
Geraldinho,10011,REPUBLICANOS,561
Rapper Pirata Bancada Hip Hop,13413,PT,559
Betth Ripolli,25400,DEM,557
Monica Caccia,45600,PSDB,556
Marli Higina,10729,REPUBLICANOS,556
Fabricio Tevez,19419,PODE,553
Raphaela Galletti,55110,PSD,552
Mauricio Frate,15155,MDB,552
Paulo Sansevero,43100,PV,551
Fernanda Tico,25247,DEM,547
Enf Alzira Bombonato,50124,PSOL,546
Eliane Andrade,10024,REPUBLICANOS,545
Sergio Pereira,51800,PATRIOTA,544
Jaque Sotanyi,45050,PSDB,543
Dr Claudio Santos,55030,PSD,541
Cabo Regina,51180,PATRIOTA,539
Cintia Santana,10316,REPUBLICANOS,537
Álvaro Jeronymo,50288,PSOL,535
Ricardo Campoi,15456,MDB,534
Raul Thame,43420,PV,532
Eliana Marucci,15915,MDB,530
Marli Pozzani,14700,PTB,529
Camilo,14077,PTB,524
Sargento Moterani,11190,PP,524
Jaque Petrovik,25024,DEM,523
Vânia Da Paixão,10776,REPUBLICANOS,521
Rafael Capalbo,51666,PATRIOTA,521
Vivian Castro,40654,PSB,520
Wellington Reis,40130,PSB,518
Marcia Nunes,55500,PSD,518
Ygurey,17255,PSL,518
Elisabeth Amorim,40121,PSB,516
Borges,22157,PL,514
Podóloga Val Dutra,19627,PODE,514
Paulo China,14800,PTB,514
Vera Andreoli,25717,DEM,511
Ane Sollar,40140,PSB,510
Osvaldo Meneses,22322,PL,509
Cláudio Grillo,10666,REPUBLICANOS,508
Irmão Duda,20444,PSC,508
Zé Do Bode,17888,PSL,507
Valdo Da Comunidade,43330,PV,505
Dr. Adê,43743,PV,504
Luciano D'annibale,14555,PTB,503
Bruna Lee,15300,MDB,502
Maradona,15258,MDB,499
Lucelio,14001,PTB,497
